Постоянная группа,Группа,Кол-во студентов,"Доля в постоянной группе, %"
ТПСу-2025-52,ТПСу-252,1,20.0
ТПТ-2022-41,ТПТ-441,1,11.1
ТПТ-2022-41,ТПТ-541,8,88.9
ТПТ-2023-41,ТПТ-341,17,45.9
ТПТ-2023-41,ТПТ-441,20,54.1
ТПТ-2024-41,ТПТ-241,28,96.6
ТПТ-2024-41,ТПТ-341,1,3.4
ТПТ-2025-41,ТПТ-141,1,100.0
ТПЭ-2022-41,ТПЭ-541,17,100.0
ТПЭ-2022-42,ТПЭ-342,1,100.0
ТПЭ-2023-41,ТПЭ-341,32,65.3
ТПЭ-2023-41,ТПЭ-441,17,34.7
ТПЭ-2024-41,ТПЭ-241,27,96.4
ТПЭ-2024-41,ТПЭ-341,1,3.6
ТПЭ-2025-41,ТПЭ-141,2,100.0
ТСА-2020-41,ТСА-541,1,100.0
ТСА-2022-41,ТСА-441,1,5.3
ТСА-2022-41,ТСА-541,18,94.7
ТСА-2022-42,ТСА-442,1,5.6
ТСА-2022-42,ТСА-542,17,94.4
ТСА-2023-41,ТСА-441,26,100.0
ТСА-2023-42,ТСА-342,1,3.7
ТСА-2023-42,ТСА-442,26,96.3
ТСА-2024-41,ТСА-241,21,55.3
ТСА-2024-41,ТСА-341,17,44.7
ТСА-2024-42,ТСА-242,31,53.4
ТСА-2024-42,ТСА-342,27,46.6
ТСА-2024-43,ТСА-143,1,100.0
ТСА-2025-41,ТСА-141,7,70.0
ТСА-2025-41,ТСА-241,3,30.0
ТСА-2025-42,ТСА-142,2,66.7
ТСА-2025-42,ТСА-242,1,33.3
ТСО-2022-51,ТСО-551,6,100.0
ТСТ-2021-41,ТСТ-541,1,100.0
ТСТ-2022-41,ТСТ-541,25,100.0
ТСТ-2023-41,ТСТ-341,1,5.6
ТСТ-2023-41,ТСТ-441,17,94.4
ТСТ-2023-42,ТСТ-242,1,5.6
ТСТ-2023-42,ТСТ-342,3,16.7
ТСТ-2023-42,ТСТ-442,14,77.8
ТСТ-2024-41,ТСТ-241,26,63.4
ТСТ-2024-41,ТСТ-341,15,36.6
ТСТ-2024-42,ТСТ-242,22,56.4
ТСТ-2024-42,ТСТ-342,17,43.6
ТСТ-2025-41,ТСТ-141,5,83.3
ТСТ-2025-41,ТСТ-241,1,16.7
ТСТ-2025-42,ТСТ-142,7,87.5
ТСТ-2025-42,ТСТ-242,1,12.5
ТСЭ-2021-41,ТСЭ-541,1,100.0
ТСЭ-2022-41,ТСЭ-541,26,100.0
ТСЭ-2022-42,ТСЭ-542,26,100.0
ТСЭ-2023-41,ТСЭ-341,2,5.9
ТСЭ-2023-41,ТСЭ-441,32,94.1
ТСЭ-2024-41,ТСЭ-241,3,15.0
ТСЭ-2024-41,ТСЭ-341,17,85.0
ТСЭ-2024-42,ТСЭ-342,22,100.0
ТСЭ-2025-41,ТСЭ-241,31,100.0
ТСЭ-2025-42,ТСЭ-142,3,8.6
ТСЭ-2025-42,ТСЭ-242,32,91.4
ТТП-2022-11,ТТП-411,1,100.0
ТТП-2023-11,ТТП-411,20,100.0
ТТП-2023-12,ТТП-312,2,9.5
ТТП-2023-12,ТТП-412,19,90.5
ТТП-2024-11,ТТП-211,2,10.0
ТТП-2024-11,ТТП-311,18,90.0
ТТП-2024-12,ТТП-212,6,24.0
ТТП-2024-12,ТТП-312,19,76.0
ТТП-2025-11,ТТП-111,2,6.9
ТТП-2025-11,ТТП-211,27,93.1
ТТП-2025-12,ТТП-112,1,4.8
ТТП-2025-12,ТТП-212,20,95.2
ТУП-2023-11,ТУП-411,17,100.0
ТУП-2024-11,ТУП-311,33,100.0
ТУП-2025-11,ТУП-211,26,100.0
ТУСу-2024-1,ТУСу-412,27,100.0
ТУУ-2023-11,ТУУ-211,1,6.2
ТУУ-2023-11,ТУУ-311,1,6.2
ТУУ-2023-11,ТУУ-411,14,87.5
ТУУ-2024-11,ТУУ-211,2,33.3
ТУУ-2024-11,ТУУ-311,4,66.7
ТУУ-2026-11,ТУУ-111,31,100.0
ТУУк-2025-11,ТУУк-311,42,100.0
ТУЭд-2025-12,ТУЭд-412,4,100.0
ТУЭд-2025-13,ТУЭд-413,42,100.0
ТУЭк-2025-11,ТУЭк-411,24,100.0
ТУЭк-2025-21,ТУЭк-311,50,100.0
ТЭИ-2024-11,ТЭИ-211,2,100.0
ТЭИу-2025-11,ТЭИу-311,9,100.0
ТЭЛ-2025-22,ТЭЛ-122,1,100.0
ТЭЛу-2022-21,ТЭЛу-421,1,100.0
ТЭЛу-2023-21,ТЭЛу-421,23,100.0
ТЭЛу-2023-22,ТЭЛу-322,1,100.0
ТЭЛу-2023-23,ТЭЛу-423,18,100.0
ТЭЛу-2024-21,ТЭЛу-321,31,100.0
